股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2026-02-10,107.18,107.18,105.79,106.5,107.36,-0.86,-0.801,185040.47,1967153.218
000858.SZ,2026-02-11,106.31,106.65,105.85,106.04,106.5,-0.46,-0.4319,114995.91,1219688.888
000858.SZ,2026-02-12,105.9,106.11,104.4,104.62,106.04,-1.42,-1.3391,181729.82,1906604.083
000858.SZ,2026-02-13,104.7,106.88,104.17,106.06,104.62,1.44,1.3764,241239.84,2557578.441
000858.SZ,2026-02-24,108.18,109.19,105.0,105.16,106.06,-0.9,-0.8486,210143.61,2233159.175
000858.SZ,2026-02-25,105.0,106.11,104.87,105.17,105.16,0.01,0.0095,161529.0,1703140.853
000858.SZ,2026-02-26,105.0,105.33,103.6,103.88,105.17,-1.29,-1.2266,192324.79,2004360.013
000858.SZ,2026-02-27,103.88,104.55,103.88,104.05,103.88,0.17,0.1637,119188.16,1242973.439
000858.SZ,2026-03-02,103.0,104.6,102.34,103.22,104.05,-0.83,-0.7977,204063.63,2106133.136
000858.SZ,2026-03-03,103.01,104.38,101.9,102.55,103.22,-0.67,-0.6491,230594.51,2370559.087
000858.SZ,2026-03-04,102.0,102.01,100.75,101.02,102.55,-1.53,-1.492,183018.22,1850959.672
000858.SZ,2026-03-05,101.62,101.97,101.15,101.45,101.02,0.43,0.4257,100520.78,1020367.656
000858.SZ,2026-03-06,101.34,102.49,101.05,102.4,101.45,0.95,0.9364,112916.4,1150357.292
000858.SZ,2026-03-09,101.32,102.6,101.27,101.52,102.4,-0.88,-0.8594,177780.84,1811068.891
000858.SZ,2026-03-10,101.88,102.39,101.76,102.05,101.52,0.53,0.5221,111694.3,1139370.872
000858.SZ,2026-03-11,102.05,102.35,101.59,102.18,102.05,0.13,0.1274,107801.26,1099529.974
000858.SZ,2026-03-12,102.0,102.73,101.6,102.27,102.18,0.09,0.0881,116614.18,1189182.247
000858.SZ,2026-03-13,102.06,103.66,101.85,102.95,102.27,0.68,0.6649,153187.1,1577733.443
000858.SZ,2026-03-16,102.8,105.31,102.7,104.54,102.95,1.59,1.5444,203048.75,2119088.706
000858.SZ,2026-03-17,104.54,105.82,104.0,104.79,104.54,0.25,0.2391,177702.49,1867733.132
000858.SZ,2026-03-18,104.79,104.99,103.4,103.72,104.79,-1.07,-1.0211,117209.05,1217253.9
000858.SZ,2026-03-19,103.01,103.41,102.51,102.53,103.72,-1.19,-1.1473,114373.47,1176973.86
000858.SZ,2026-03-20,102.53,103.18,101.9,102.4,102.53,-0.13,-0.1268,102865.04,1053023.022
000858.SZ,2026-03-23,101.4,101.78,100.04,100.23,102.4,-2.17,-2.1191,205189.79,2064661.956
000858.SZ,2026-03-24,100.88,101.46,100.04,101.34,100.23,1.11,1.1075,117507.54,1184095.484
000858.SZ,2026-03-25,101.35,102.58,100.88,102.45,101.34,1.11,1.0953,108589.64,1107451.813
000858.SZ,2026-03-26,102.2,102.89,101.28,101.28,102.45,-1.17,-1.142,95924.48,977853.749
000858.SZ,2026-03-27,100.5,102.88,100.41,102.65,101.28,1.37,1.3527,102957.55,1052956.368
000858.SZ,2026-03-30,101.99,103.9,101.8,103.46,102.65,0.81,0.7891,124906.97,1286843.153
000858.SZ,2026-03-31,105.0,105.8,103.27,103.27,103.46,-0.19,-0.1836,178347.71,1865043.694
000858.SZ,2026-04-01,103.97,105.18,103.39,104.39,103.27,1.12,1.0845,122666.65,1279526.789
000858.SZ,2026-04-02,104.0,105.26,103.88,105.0,104.39,0.61,0.5843,151783.37,1589237.202
000858.SZ,2026-04-03,104.97,104.97,103.29,103.49,105.0,-1.51,-1.4381,83088.61,864181.133
000858.SZ,2026-04-07,103.4,103.9,102.35,103.11,103.49,-0.38,-0.3672,81547.94,839975.543
000858.SZ,2026-04-08,103.9,104.2,103.51,104.19,103.11,1.08,1.0474,97740.07,1016515.698
000858.SZ,2026-04-09,103.38,103.69,102.5,102.6,104.19,-1.59,-1.5261,98461.58,1012935.76
000858.SZ,2026-04-10,102.61,102.95,102.0,102.07,102.6,-0.53,-0.5166,122424.04,1253630.005
000858.SZ,2026-04-13,101.64,102.45,101.08,102.42,102.07,0.35,0.3429,122634.34,1247104.401
000858.SZ,2026-04-14,102.42,103.4,101.88,103.1,102.42,0.68,0.6639,120696.37,1238173.621
000858.SZ,2026-04-15,102.9,103.99,102.68,103.55,103.1,0.45,0.4365,115712.56,1196292.314
000858.SZ,2026-04-16,103.5,104.0,103.22,103.44,103.55,-0.11,-0.1062,90166.32,934168.918
000858.SZ,2026-04-17,101.5,102.25,101.2,101.86,103.44,-1.58,-1.5275,167431.74,1704502.562
